Step	Training Loss	Validation Loss	Bleu	Chrfpp
500	0.309200	0.422589	3.366930	26.198164
1000	0.370200	0.403111	3.599009	26.950816
1500	0.404600	0.382955	3.545633	28.842819
2000	0.382900	0.366249	5.392402	28.788893
2500	0.374200	0.353376	5.035665	30.264724
3000	0.356400	0.345474	6.228932	30.881597
3500	0.359500	0.338429	5.690482	31.888863
4000	0.361100	0.330263	7.093179	33.254938
4500	0.332200	0.322041	6.250226	32.551144
5000	0.335400	0.317297	6.735295	33.818801
5500	0.328400	0.310599	7.040901	34.728936
6000	0.317100	0.308610	7.905518	34.793223
6500	0.310100	0.301572	7.579094	34.000288
7000	0.327100	0.296218	9.186426	34.355087
7500	0.292400	0.292211	8.446749	34.826808
8000	0.289600	0.288812	10.029183	37.283621
8500	0.301900	0.283810	8.458956	37.352576
9000	0.288900	0.284590	9.284442	37.043174
9500	0.289000	0.276944	9.741259	37.742200
10000	0.285900	0.277020	10.189217	36.660881
10500	0.277500	0.271952	10.005856	38.419523
11000	0.281300	0.271644	11.266670	38.077450
11500	0.268500	0.266598	10.698107	38.014058
12000	0.283700	0.265342	10.361457	39.510712
12500	0.276100	0.258287	11.840528	38.982917
13000	0.275600	0.258472	11.229730	39.513992
13500	0.277000	0.253992	10.943146	40.772207
14000	0.267700	0.252450	11.261565	41.022271
14500	0.269800	0.252359	10.586362	40.313434
15000	0.271400	0.247314	11.574347	40.498746
15500	0.267500	0.245681	12.673548	41.763710
16000	0.271900	0.246922	12.745798	40.216375
16500	0.245800	0.242018	12.502683	42.062554
17000	0.261100	0.239368	12.291934	41.443064
17500	0.246800	0.240458	11.692885	41.296884
18000	0.251700	0.237891	12.093203	41.582514
18500	0.255400	0.233099	12.994220	41.578234
19000	0.258200	0.232261	13.865009	42.307907
19500	0.245100	0.230728	14.359425	42.070133
20000	0.238900	0.227562	13.916818	42.180139
20500	0.252100	0.227329	14.183440	43.542598
21000	0.240400	0.223200	14.432446	43.931843
21500	0.243800	0.224605	13.824820	43.352434
22000	0.239500	0.225727	15.167002	43.122453
22500	0.238500	0.221285	14.126649	43.802003
23000	0.238200	0.220586	14.982638	44.262084
23500	0.192700	0.221207	14.233828	43.549337
24000	0.205800	0.220175	15.291192	44.217838
24500	0.196200	0.220817	14.172515	44.137866
25000	0.202300	0.216576	14.934152	44.139202
25500	0.201900	0.217623	15.393186	43.480577
26000	0.198500	0.217630	15.596279	44.745066
26500	0.213700	0.213232	16.102968	44.934798
27000	0.197700	0.214479	15.699710	44.716791
27500	0.189700	0.212775	15.181313	44.579161
28000	0.207800	0.212218	16.472953	44.838671
28500	0.200600	0.213067	16.078092	44.871186
29000	0.199200	0.208212	16.197404	45.350979
29500	0.209100	0.207875	15.701652	44.858538
30000	0.200900	0.208752	15.617218	46.223978
30500	0.192700	0.207128	16.129857	45.312476
31000	0.191100	0.207128	17.267380	45.463365
31500	0.202300	0.205713	17.150434	45.675854
32000	0.198700	0.203447	16.875189	46.425898
32500	0.190800	0.206080	17.155036	45.431151
33000	0.192900	0.201055	17.191919	46.630869
33500	0.193500	0.201256	17.759870	45.855621
34000	0.192000	0.202152	18.265594	45.948023
34500	0.196200	0.197177	17.954775	46.704397
35000	0.198300	0.198321	17.618471	47.357874
35500	0.192300	0.198090	17.206362	46.486287
36000	0.201600	0.196311	17.715095	46.594211
36500	0.187200	0.195900	18.311315	47.454782
37000	0.189300	0.193190	18.066503	47.624718
37500	0.180100	0.194923	18.180425	47.278590
38000	0.196900	0.192954	17.831586	47.758506
38500	0.189000	0.194568	17.378083	47.437571
39000	0.191200	0.191289	18.743317	47.328744
39500	0.186900	0.189954	18.193049	48.213401
40000	0.191300	0.190601	19.442180	47.855108
40500	0.188400	0.189897	19.100438	48.012817
41000	0.185800	0.187723	18.727558	48.221366
41500	0.186300	0.189572	18.965341	49.175763
42000	0.185100	0.185848	18.763994	48.383255
42500	0.181800	0.184559	17.711388	48.757155
43000	0.189500	0.182461	19.482503	49.042189
43500	0.190100	0.184631	19.717459	48.646186
44000	0.180100	0.185075	20.093769	48.508971
44500	0.177800	0.183606	18.108374	49.291813
45000	0.185500	0.181901	18.994471	48.856078
45500	0.191400	0.179841	19.807896	50.397348
46000	0.189600	0.181599	20.346183	48.837832
46500	0.186700	0.178387	19.392452	49.027799
47000	0.151100	0.181495	20.474861	48.784304
47500	0.145800	0.181780	19.962147	50.181019
48000	0.154800	0.178565	20.017625	50.059730
48500	0.144800	0.180742	20.319088	49.408721
49000	0.148600	0.180835	20.187000	49.885498
49500	0.151800	0.182112	21.060899	50.573499
50000	0.158100	0.179684	21.161840	50.015290
50500	0.154100	0.178522	20.998183	49.471383
51000	0.147600	0.178394	20.565989	50.245818
51500	0.147800	0.176763	20.170221	50.254109
52000	0.147600	0.176504	20.846028	50.514854
52500	0.148700	0.175422	21.525934	49.856205
53000	0.150400	0.176980	20.858230	50.347150
53500	0.154600	0.174468	20.928496	51.050307
54000	0.151900	0.174181	21.419486	50.361470
54500	0.144900	0.173460	21.852763	50.583436
55000	0.155300	0.173784	21.676793	49.886002
55500	0.148800	0.172860	22.092864	50.996213
56000	0.156300	0.172495	21.827432	50.849330
56500	0.149400	0.171401	20.878037	51.500020
57000	0.151900	0.170854	21.308952	50.451638
57500	0.145200	0.170741	22.503616	51.208702
58000	0.155700	0.170819	22.972161	51.324207
58500	0.151700	0.169213	22.464491	51.565425
59000	0.153700	0.168988	22.218342	51.500204
59500	0.155900	0.167693	22.991261	51.502394
60000	0.154100	0.166539	22.002227	51.698376
60500	0.150400	0.167577	23.064922	51.407885
61000	0.145300	0.168495	22.252144	50.862385
61500	0.143000	0.166681	22.528805	51.824961
62000	0.146600	0.165000	23.090439	52.230654
62500	0.147300	0.164483	23.149285	52.290352
63000	0.144400	0.164406	23.506976	52.003840
63500	0.145700	0.165525	22.197863	51.410249
64000	0.146300	0.165838	22.964760	51.915526
64500	0.151900	0.162045	24.114480	52.415756
65000	0.155900	0.164746	23.407947	51.790431
65500	0.145400	0.164086	23.138767	51.893548
66000	0.148800	0.162608	22.657743	52.461034
66500	0.148400	0.161412	24.435212	52.284926
67000	0.147200	0.162745	23.479989	52.423759
67500	0.151600	0.160525	22.746138	52.411976
68000	0.143800	0.163042	22.669744	52.605544
68500	0.143200	0.160262	22.574059	52.457200
69000	0.148200	0.159712	22.999680	52.343501
69500	0.141400	0.157776	24.357238	52.922143
70000	0.121900	0.162059	24.293567	53.073310
70500	0.118600	0.161208	24.006318	53.169749
71000	0.114900	0.160894	24.804686	53.857585
71500	0.116200	0.161617	22.770682	54.030241
72000	0.121900	0.160579	24.516031	53.556878
72500	0.126700	0.157430	24.951611	53.911606
73000	0.111100	0.159832	24.253306	53.822356
73500	0.112900	0.158389	26.189782	54.231916
74000	0.115900	0.160470	25.324464	53.693107
74500	0.123000	0.160151	26.337216	53.612871
75000	0.115500	0.157147	25.446318	53.535936
75500	0.116000	0.157575	24.694927	54.344110
76000	0.118700	0.158012	24.868908	53.667182
76500	0.116300	0.156680	25.258350	54.173588
77000	0.113100	0.158804	25.794836	53.897323
77500	0.119200	0.156167	25.394335	54.246528
78000	0.120900	0.157182	23.808694	54.003177
78500	0.115900	0.155725	25.126023	53.715446
79000	0.116800	0.155752	25.678459	53.804861
79500	0.115200	0.156567	25.356382	54.283978
80000	0.118000	0.155256	26.052762	53.909183
80500	0.123000	0.152813	26.362987	54.913064
81000	0.124900	0.153048	26.020384	54.226606
81500	0.118500	0.152794	25.244474	54.390270
82000	0.112100	0.153316	26.666867	54.230440
82500	0.112100	0.152428	25.878543	53.901722
83000	0.117500	0.152941	25.659605	55.002150
83500	0.123100	0.152625	25.487215	54.226931
84000	0.116900	0.155045	25.127153	54.231452
84500	0.121100	0.151267	26.258164	55.156294
85000	0.122200	0.151669	26.758670	55.352797
85500	0.125400	0.149364	26.319455	55.377096
86000	0.115000	0.150304	25.943007	55.844031
86500	0.119400	0.149266	26.809415	55.340744
87000	0.118500	0.150443	26.798572	54.460418
87500	0.118100	0.147273	27.257021	55.534230
88000	0.121900	0.149458	26.169784	55.378866
88500	0.125200	0.146407	27.048015	55.250244
89000	0.111900	0.145912	27.616320	55.701927
89500	0.123500	0.146413	27.254920	55.229676
90000	0.111400	0.147169	27.658724	55.363689
90500	0.117200	0.147168	27.666101	55.176163
91000	0.117600	0.144210	27.496565	55.983329
91500	0.118000	0.146081	27.378991	55.819143
92000	0.125300	0.143569	28.053902	55.852351
92500	0.112900	0.145826	27.842708	56.366553
93000	0.122200	0.145489	26.872183	56.425358
93500	0.087800	0.148419	27.546240	56.148081
94000	0.089600	0.149310	28.619166	55.825219
94500	0.087800	0.147674	28.197080	56.342020
95000	0.091300	0.150339	28.362112	55.952059
95500	0.090400	0.151713	28.173020	55.391730
96000	0.097000	0.150017	28.091700	55.500986
96500	0.095800	0.149339	28.668643	56.497638
97000	0.094200	0.148492	26.760766	55.806470
97500	0.091100	0.147806	27.398589	56.672433
98000	0.093700	0.146919	28.536134	56.914937
98500	0.094900	0.147269	29.116577	56.806045
99000	0.087500	0.147129	28.944073	56.781250
99500	0.093300	0.146465	27.748933	56.748817
100000	0.096700	0.146796	28.373567	56.556095
100500	0.090700	0.146372	28.058203	56.255703
101000	0.092600	0.147062	28.388214	56.564195
101500	0.093500	0.146469	28.297049	56.448971
102000	0.100000	0.144556	29.367106	57.521727
102500	0.094000	0.143113	29.244867	56.852072
103000	0.096900	0.144366	28.324279	56.593338
103500	0.090200	0.143333	29.521519	56.988476
104000	0.087400	0.143089	29.496106	56.991900
104500	0.096200	0.142473	28.605885	57.055344
105000	0.096300	0.143438	29.521331	57.380702
105500	0.090100	0.143249	29.004163	57.396880
106000	0.096400	0.140823	30.017672	56.926418
106500	0.100500	0.142081	28.392643	57.683243
107000	0.096800	0.140667	29.257921	56.990839
107500	0.094200	0.139331	28.941285	57.627682
108000	0.097700	0.139297	29.952310	57.785788
108500	0.091400	0.138691	30.627766	58.016709
109000	0.093300	0.138117	30.650054	58.496898
109500	0.095400	0.139680	29.540605	56.953538
110000	0.090000	0.138344	29.851225	58.132794
110500	0.095800	0.138294	30.981322	58.111900
111000	0.094400	0.136582	30.096657	57.902362
111500	0.096900	0.139124	30.064671	57.429012
112000	0.096800	0.136778	30.362431	58.423784
112500	0.096600	0.138205	30.186922	57.813267
113000	0.093600	0.138642	28.797072	58.207688
113500	0.096800	0.136296	30.064960	58.321467
114000	0.085800	0.137626	30.598758	57.923564
114500	0.095600	0.137275	30.977734	58.017473
115000	0.091600	0.134256	31.050186	58.450221
115500	0.093300	0.135075	30.387003	58.203656
116000	0.089100	0.134344	29.834503	58.032868
116500	0.069400	0.141767	30.405729	58.098691
117000	0.068300	0.141268	30.487520	58.494167
117500	0.069300	0.141589	30.245521	58.230175
118000	0.069300	0.142572	31.325079	58.471236
118500	0.068400	0.142359	31.100254	58.479495
119000	0.070700	0.141282	30.203570	58.292622
119500	0.070100	0.141417	30.475650	58.451062
120000	0.074300	0.140206	30.600974	58.539300
120500	0.064900	0.140571	31.293871	58.683932
121000	0.066400	0.139109	30.382525	58.529300
121500	0.070200	0.138710	31.290802	58.963724
122000	0.071800	0.141047	31.449736	58.643517
122500	0.069900	0.139643	32.131634	59.027980
123000	0.072400	0.139032	31.689939	58.475823
123500	0.069600	0.138528	31.607639	58.793710
124000	0.071100	0.137687	31.465542	58.954745
124500	0.071900	0.138440	32.524685	59.256546
125000	0.069500	0.139106	30.766384	58.647556
125500	0.070800	0.138588	31.457435	58.419843
126000	0.072800	0.137427	31.856191	58.890113
126500	0.072900	0.137573	31.919699	59.082076
127000	0.077300	0.136369	32.528426	59.514349
127500	0.070700	0.137398	31.989960	59.027496
128000	0.072200	0.137220	32.704875	59.121643
128500	0.070300	0.135461	31.932884	58.810216
129000	0.070500	0.135096	32.041672	59.141777
129500	0.070300	0.136461	31.998761	59.174759
130000	0.069200	0.136273	32.471079	59.210102
130500	0.070000	0.135023	32.790904	59.418185
131000	0.076100	0.134159	32.921615	59.763556
131500	0.072600	0.134051	32.688150	59.725658
132000	0.072100	0.134259	32.395988	60.129229
132500	0.070700	0.133430	32.689235	59.414782
133000	0.070400	0.134486	32.358503	59.691711
133500	0.072200	0.134649	32.175298	59.749630
134000	0.070700	0.133844	32.026303	58.872721
134500	0.070000	0.132644	33.441660	60.074075
135000	0.073700	0.132445	32.503776	59.717097
135500	0.071500	0.134881	31.652500	59.207037
136000	0.077300	0.133277	32.969014	60.243178
136500	0.069300	0.130794	33.477383	60.508397
137000	0.067800	0.130542	33.354650	60.445682
137500	0.068500	0.131402	34.289983	60.498381
138000	0.074400	0.131151	33.824151	60.451972
138500	0.069400	0.130059	33.481700	60.190775
139000	0.068700	0.131293	32.691590	60.133923
139500	0.075300	0.129886	33.638264	60.047075
140000	0.054600	0.137693	33.832293	59.746129
140500	0.047800	0.139644	32.998214	59.793071
141000	0.054500	0.138085	33.688351	60.226635
141500	0.054300	0.139681	32.544057	60.012996
142000	0.049900	0.139878	33.081545	59.995601
142500	0.052100	0.139841	33.540213	60.747154
143000	0.052000	0.140203	33.330120	60.217151
143500	0.054100	0.140022	33.142332	60.078687
144000	0.055100	0.139754	33.861467	60.370900
144500	0.053000	0.139562	33.083781	59.681777
145000	0.055800	0.139919	33.044004	60.134170
145500	0.053200	0.138513	33.579577	60.499518
146000	0.052900	0.139058	33.113917	60.100005
146500	0.050300	0.140056	32.647652	59.971502
147000	0.050500	0.139153	33.301129	60.066190
147500	0.052400	0.139233	33.552958	60.366217
148000	0.054000	0.138877	32.993697	60.012464
148500	0.051000	0.137061	34.651539	60.867507
149000	0.053200	0.137758	33.832929	60.285690
149500	0.054000	0.137048	34.006956	60.692071
150000	0.053600	0.136923	33.575763	60.229535
150500	0.050400	0.137011	33.623867	60.582638
151000	0.053600	0.135953	33.560838	60.568731
151500	0.053200	0.136755	33.671224	60.529269
152000	0.050900	0.135283	33.391700	61.129415
152500	0.055500	0.136429	33.935914	60.514262
153000	0.052900	0.136951	34.157370	60.813751
153500	0.053200	0.134793	34.084587	60.649319
154000	0.055500	0.134752	34.983031	60.886062
154500	0.052100	0.136204	35.170961	60.987772
155000	0.053500	0.133882	35.125648	61.150185
155500	0.054000	0.134705	33.773253	60.634929
156000	0.051900	0.134622	34.369982	61.144749
156500	0.056200	0.131917	34.849853	61.249025
157000	0.051300	0.134809	34.737910	61.264794
157500	0.048000	0.135185	34.591733	60.961534
158000	0.057000	0.132403	34.914618	61.374356
158500	0.052300	0.133109	34.609429	61.344133
159000	0.050700	0.131801	35.449704	61.263684
159500	0.053100	0.131655	35.819547	61.970719
160000	0.051800	0.132044	35.376773	61.789507
160500	0.053200	0.131385	35.483492	61.910591
161000	0.052500	0.131196	34.830122	61.721048
161500	0.055000	0.129904	36.066735	61.902958
162000	0.054600	0.130177	35.038492	61.465804
162500	0.053100	0.130526	35.262491	61.474974
163000	0.051900	0.132163	36.423043	61.832388
163500	0.038600	0.139783	35.010806	61.192422
164000	0.040300	0.140861	34.540927	61.246378
164500	0.038200	0.142677	34.816099	61.319686
165000	0.035600	0.141485	34.365181	61.658551
165500	0.035700	0.140401	34.756591	61.560890
166000	0.038100	0.142501	35.335500	61.551529
166500	0.038000	0.141117	35.139078	61.799093
167000	0.035600	0.140558	35.550721	61.921875
167500	0.039600	0.140925	35.425845	61.836007
168000	0.040900	0.140106	35.216967	61.468773
168500	0.037000	0.140235	34.935663	61.595559
169000	0.040000	0.139245	36.306965	61.806657
169500	0.038900	0.138124	35.778116	61.856236
170000	0.040200	0.139206	35.259945	61.657041
170500	0.038100	0.138988	35.758793	61.867912
171000	0.041700	0.137658	36.596424	62.417813
171500	0.038100	0.137717	36.543833	61.991605
172000	0.038300	0.137626	36.476809	62.058384
172500	0.036400	0.138328	35.760946	61.784860
173000	0.037400	0.139029	35.744179	61.961203
173500	0.038800	0.137807	36.227987	62.087300
174000	0.039700	0.137623	36.287256	61.932339
174500	0.038300	0.136018	37.018399	62.644491
175000	0.037800	0.137009	37.171976	62.555117
175500	0.038800	0.135942	35.876040	62.089748
176000	0.038000	0.137093	36.413118	62.142733
176500	0.036900	0.137294	35.881980	61.927420
177000	0.037600	0.134734	36.735716	62.599689
177500	0.036100	0.136072	36.665069	62.528574
178000	0.040200	0.135071	37.113766	62.574707
178500	0.038800	0.135731	37.044066	62.885702
179000	0.038500	0.134607	37.138034	62.783628
179500	0.038900	0.135546	36.682609	62.420281
180000	0.040000	0.136325	36.904608	62.180655
180500	0.039700	0.135688	35.903874	61.923439
181000	0.035500	0.135041	36.373986	62.528484
181500	0.038000	0.133359	37.530185	62.707742
182000	0.035700	0.136404	37.242018	62.460526
182500	0.038700	0.133674	36.976012	62.660122
183000	0.036200	0.133929	37.086315	63.160468
183500	0.038100	0.133195	37.144408	62.958868
184000	0.039600	0.131915	36.935160	63.094068
184500	0.035000	0.133923	37.502293	63.075427
185000	0.036200	0.133074	37.714150	63.402501
185500	0.035300	0.132639	38.298986	63.210039
186000	0.038500	0.131753	37.686986	63.210494
186500	0.027500	0.140087	37.580431	62.925242
187000	0.026600	0.142432	37.183546	63.239761
187500	0.025800	0.143345	37.800593	63.043856
188000	0.026600	0.142707	36.960013	62.879782
188500	0.028900	0.143659	36.387593	62.445663
189000	0.026600	0.143488	37.397422	63.024719
189500	0.025300	0.143845	37.489916	63.091759
190000	0.026500	0.142277	37.174248	63.216736
190500	0.027100	0.144102	36.971601	62.933610
191000	0.026800	0.143734	37.514547	63.168005
191500	0.027400	0.143811	37.338630	62.860454
192000	0.025000	0.143303	37.082397	63.029979
192500	0.028200	0.142058	38.332230	63.378708
193000	0.028600	0.142815	38.056308	63.238981
193500	0.029800	0.142434	37.892200	63.225062
194000	0.025600	0.143457	37.524858	63.027552
194500	0.025600	0.141655	38.139968	63.196852
195000	0.030200	0.142331	38.181832	63.710539
195500	0.026600	0.142397	38.215786	63.291032
196000	0.026400	0.141770	38.609597	63.456031
196500	0.027500	0.141884	37.459929	62.983506
197000	0.027200	0.141933	37.930222	63.630009
197500	0.026100	0.140934	38.051480	63.420363
198000	0.025200	0.141799	38.000466	63.250644
198500	0.028300	0.142444	37.751803	63.125587
199000	0.026800	0.141504	38.297886	63.250951
199500	0.026700	0.141861	37.929222	63.293689
200000	0.025900	0.141027	38.687870	64.001650
200500	0.026800	0.140743	38.537099	63.519685
201000	0.025800	0.140933	38.751079	63.443855
201500	0.028100	0.140301	38.806626	64.110321
202000	0.025300	0.140364	38.442395	63.838902
202500	0.026300	0.140273	38.807257	63.725266
203000	0.027500	0.139172	39.129173	64.018375
203500	0.025200	0.139658	38.431851	63.607071
204000	0.027400	0.139210	38.413366	63.712469
204500	0.025500	0.139087	38.936563	64.016231
205000	0.026600	0.140343	39.164008	64.047218
205500	0.024400	0.139028	39.156304	64.161251
206000	0.026500	0.140140	39.439982	63.984645
206500	0.026800	0.138536	39.339993	64.083433
207000	0.026200	0.139342	39.435472	64.162240
207500	0.025800	0.139239	39.178198	64.032497
208000	0.026200	0.138873	39.068716	64.100838
208500	0.025900	0.138696	39.253353	63.988374
209000	0.028300	0.137753	39.741482	64.527075
209500	0.025700	0.137918	39.664219	64.446628
210000	0.020700	0.142747	39.788593	64.388091
210500	0.021600	0.143349	39.482578	64.389368
211000	0.022600	0.144068	39.823126	64.489197
211500	0.020900	0.144925	39.160253	64.051343
212000	0.020000	0.145331	39.316545	64.352607
212500	0.020700	0.145391	39.726342	64.637601
213000	0.020100	0.145652	39.394184	64.376262
213500	0.020800	0.145400	39.682512	64.151233
214000	0.020600	0.145337	39.260167	64.004610
214500	0.020500	0.146065	39.297824	64.175912
215000	0.021300	0.145715	39.856426	64.341376
215500	0.020500	0.144768	39.457326	64.198954
216000	0.020800	0.144556	39.741295	64.419434
216500	0.020700	0.144787	39.961723	64.598234
217000	0.019100	0.145074	39.889696	64.522281
