 [ 78011/232840 14:22:58 < 28:32:47, 1.51 it/s, Epoch 3.35/10]
Step	Training Loss	Validation Loss	Bleu	Chrf++
500	3.149800	2.572824	2.216749	20.873349
1000	0.547900	0.516713	2.307291	19.571735
1500	0.471600	0.448588	2.339350	24.074836
2000	0.427100	0.418136	3.893212	28.036338
2500	0.401900	0.397900	4.086925	27.886292
3000	0.380900	0.377696	5.284685	30.367904
3500	0.379200	0.358723	6.031295	32.440902
4000	0.364900	0.355203	6.739238	30.844122
4500	0.335100	0.347390	6.252468	31.354734
5000	0.357700	0.328669	7.438731	34.153681
5500	0.328200	0.325583	7.114487	34.974707
6000	0.341400	0.319174	7.826974	33.596143
6500	0.324500	0.309070	7.538209	36.132288
7000	0.323500	0.304260	8.203347	36.445560
7500	0.314500	0.302325	8.634457	36.547765
8000	0.316400	0.292534	9.490187	37.129282
8500	0.307700	0.295780	7.919290	38.410438
9000	0.300000	0.283210	9.370395	38.161501
9500	0.300100	0.279738	9.395999	38.805280
10000	0.293200	0.279494	9.975203	38.085282
10500	0.294500	0.271832	10.388550	39.342068
11000	0.287700	0.272730	10.180228	40.558053
11500	0.276300	0.268941	9.443140	40.473446
12000	0.273200	0.264855	9.929592	40.700232
12500	0.264100	0.263158	10.389656	40.887442
13000	0.269700	0.259766	10.485108	40.410941
13500	0.271200	0.258706	11.107744	40.491219
14000	0.280200	0.250328	11.524250	41.698519
14500	0.251300	0.250958	10.537215	42.122382
15000	0.257500	0.248131	10.781629	41.633665
15500	0.271800	0.245580	11.402244	42.213070
16000	0.249000	0.246871	11.353685	43.063310
16500	0.256100	0.244037	11.329403	41.665373
17000	0.258400	0.241398	11.942108	42.258601
17500	0.241800	0.240214	12.572449	43.123349
18000	0.253300	0.235262	12.929508	43.336865
18500	0.247100	0.234882	11.614305	43.964340
19000	0.244600	0.229826	12.577275	43.742102
19500	0.240500	0.229041	12.646796	45.115545
20000	0.234900	0.229948	11.525798	43.983833
20500	0.226500	0.225416	13.879737	44.787098
21000	0.232000	0.225800	13.580687	44.180510
21500	0.245200	0.222539	13.346606	45.281143
