Step	Training Loss	Validation Loss	Bleu	Chrfpp
500	3.427000	2.800341	2.473018	22.232030
1000	0.551100	0.378124	2.204750	22.052324
1500	0.467600	0.325220	3.385015	26.064409
2000	0.417900	0.289182	4.966991	28.663248
2500	0.408600	0.271135	5.767395	30.279764
3000	0.389600	0.259954	6.206602	31.306200
3500	0.374400	0.245465	6.328070	32.808181
4000	0.367000	0.240566	6.373817	33.057004
4500	0.346900	0.230005	7.976375	34.969562
5000	0.342300	0.227456	6.759630	35.463699
5500	0.346400	0.214017	9.598570	36.320704
6000	0.327400	0.209641	9.030928	36.788677
6500	0.323000	0.202557	10.305091	37.917307
7000	0.320600	0.201599	9.975990	37.250360
7500	0.297600	0.199328	10.080583	38.304132
8000	0.293600	0.193995	10.484662	37.576700
8500	0.304000	0.189873	11.277278	40.531522
9000	0.297300	0.185972	11.065358	40.105219
9500	0.291300	0.184820	11.647275	41.164196
10000	0.287300	0.179164	11.531275	40.368165
10500	0.271800	0.180364	11.252495	40.579146
11000	0.288400	0.175666	11.025251	42.002529
11500	0.271200	0.174415	11.969830	42.022941
12000	0.280900	0.168088	11.864868	43.225563
12500	0.280400	0.169152	12.248064	43.595746
13000	0.278300	0.167644	12.811861	43.091125
13500	0.289500	0.165775	13.046209	44.054006
14000	0.273000	0.164997	12.258367	43.470103
14500	0.261800	0.160737	14.042114	44.296020
15000	0.241800	0.160656	13.873915	43.625987
15500	0.255900	0.158375	14.128710	43.575064
16000	0.261800	0.156251	14.327215	45.482652
16500	0.235900	0.153579	14.902651	45.880479
17000	0.264200	0.152509	13.919853	45.399544
17500	0.245100	0.152698	14.857031	45.559445
18000	0.248500	0.150105	15.090472	46.050942
18500	0.251300	0.149977	15.640421	46.218524
19000	0.250900	0.149533	15.392524	46.499740
19500	0.244700	0.148644	13.445537	46.303950
20000	0.237000	0.145212	15.122250	46.316937
20500	0.229700	0.144810	16.244877	47.019982
21000	0.244600	0.144418	15.547744	46.394390
21500	0.221100	0.144645	16.469425	46.847474
22000	0.230300	0.142378	16.860498	47.115204
22500	0.221200	0.141818	16.081066	47.559859
23000	0.238100	0.139443	15.788900	47.437224
23500	0.193600	0.139079	16.754000	47.729988
24000	0.203000	0.137038	17.045994	48.235144
24500	0.203500	0.138570	17.079396	47.977014
25000	0.193100	0.137863	17.889333	48.553671
25500	0.201700	0.136758	16.929875	49.241646
